STATE|STATEFP|CDFP|CDNAME
TN|47|01|Congressional District 1
TN|47|02|Congressional District 2
TN|47|03|Congressional District 3
TN|47|04|Congressional District 4
TN|47|05|Congressional District 5
TN|47|06|Congressional District 6
TN|47|07|Congressional District 7
TN|47|08|Congressional District 8
TN|47|09|Congressional District 9
TX|48|01|Congressional District 1
TX|48|02|Congressional District 2
TX|48|03|Congressional District 3
TX|48|04|Congressional District 4
TX|48|05|Congressional District 5
TX|48|06|Congressional District 6
TX|48|07|Congressional District 7
TX|48|08|Congressional District 8
TX|48|09|Congressional District 9
TX|48|10|Congressional District 10
TX|48|11|Congressional District 11
TX|48|12|Congressional District 12
TX|48|13|Congressional District 13
TX|48|14|Congressional District 14
TX|48|15|Congressional District 15
TX|48|16|Congressional District 16
TX|48|17|Congressional District 17
TX|48|18|Congressional District 18
TX|48|19|Congressional District 19
TX|48|20|Congressional District 20
TX|48|21|Congressional District 21
TX|48|22|Congressional District 22
TX|48|23|Congressional District 23
TX|48|24|Congressional District 24
TX|48|25|Congressional District 25
TX|48|26|Congressional District 26
TX|48|27|Congressional District 27
TX|48|28|Congressional District 28
TX|48|29|Congressional District 29
TX|48|30|Congressional District 30
TX|48|31|Congressional District 31
TX|48|32|Congressional District 32
TX|48|33|Congressional District 33
TX|48|34|Congressional District 34
TX|48|35|Congressional District 35
TX|48|36|Congressional District 36
UT|49|01|Congressional District 1
UT|49|02|Congressional District 2
UT|49|03|Congressional District 3
UT|49|04|Congressional District 4
VT|50|00|Congressional District (at Large)
VA|51|01|Congressional District 1
VA|51|02|Congressional District 2
VA|51|03|Congressional District 3
VA|51|04|Congressional District 4
VA|51|05|Congressional District 5
VA|51|06|Congressional District 6
VA|51|07|Congressional District 7
VA|51|08|Congressional District 8
VA|51|09|Congressional District 9
VA|51|10|Congressional District 10
VA|51|11|Congressional District 11
WA|53|01|Congressional District 1
WA|53|02|Congressional District 2
WA|53|03|Congressional District 3
WA|53|04|Congressional District 4
WA|53|05|Congressional District 5
WA|53|06|Congressional District 6
WA|53|07|Congressional District 7
WA|53|08|Congressional District 8
WA|53|09|Congressional District 9
WA|53|10|Congressional District 10
WV|54|01|Congressional District 1
WV|54|02|Congressional District 2
WV|54|03|Congressional District 3
WI|55|01|Congressional District 1
WI|55|02|Congressional District 2
WI|55|03|Congressional District 3
WI|55|04|Congressional District 4
WI|55|05|Congressional District 5
WI|55|06|Congressional District 6
WI|55|07|Congressional District 7
WI|55|08|Congressional District 8
WY|56|00|Congressional District (at Large)
AS|60|98|Delegate District (at Large)
GU|66|98|Delegate District (at Large)
MP|69|98|Delegate District (at Large)
PR|72|98|Resident Commissioner District (at Large)
UM|74|99|No Representative
VI|78|98|Delegate District (at Large)
